Equipment;Familly;Category;Event;From;To;duration
Prakla №1_ KATCO;use;WAITING;ППР;10.04.2025 20:00;10.04.2025 20:30;0,5
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;10.04.2025 13:00;10.04.2025 20:00;7
Prakla №1_ KATCO;standBy;WAITING;Обед;10.04.2025 12:00;10.04.2025 13:00;1
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;10.04.2025 9:00;10.04.2025 12:00;3
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;10.04.2025 8:30;10.04.2025 9:00;0,5
Prakla №1_ KATCO;use;WAITING;ППР;10.04.2025 8:00;10.04.2025 8:30;0,5
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;10.04.2025 4:30;10.04.2025 8:00;3,5
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;10.04.2025 0:00;10.04.2025 4:30;4,5
Prakla №1_ KATCO;standBy;WAITING;Обед;09.04.2025 23:00;10.04.2025 0:00;1
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;09.04.2025 20:30;09.04.2025 23:00;2,5
Prakla №1_ KATCO;use;WAITING;ППР;09.04.2025 20:00;09.04.2025 20:30;0,5
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;09.04.2025 15:00;09.04.2025 20:00;5
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;09.04.2025 14:00;09.04.2025 15:00;1
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;09.04.2025 13:00;09.04.2025 14:00;1
Prakla №1_ KATCO;standBy;WAITING;Обед;09.04.2025 11:30;09.04.2025 13:00;1,5
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;09.04.2025 9:00;09.04.2025 11:30;2,5
Prakla №1_ KATCO;use;WAITING;ППР;09.04.2025 8:00;09.04.2025 9:00;1
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;09.04.2025 4:30;09.04.2025 8:00;3,5
Prakla №1_ KATCO;use;ASSEMBLY;Монтаж агрегата;09.04.2025 3:00;09.04.2025 4:30;1,5
Prakla №1_ KATCO;use;TRANSPORT;Перевозка агрегата;09.04.2025 2:00;09.04.2025 3:00;1
Prakla №1_ KATCO;use;ASSEMBLY;Демонтаж агрегата;09.04.2025 1:00;09.04.2025 2:00;1
Prakla №1_ KATCO;standBy;WAITING;Обед;09.04.2025 0:00;09.04.2025 1:00;1
Prakla №1_ KATCO;standBy;WAITING;Ожидание результатов каротажа фаза 1;08.04.2025 22:00;09.04.2025 0:00;2
Prakla №1_ KATCO;use;LOGGING;Каротаж фазы 1;08.04.2025 21:00;08.04.2025 22:00;1
Prakla №1_ KATCO;use;WAITING;ППР;08.04.2025 20:00;08.04.2025 21:00;1
Prakla №1_ KATCO;use;LOGGING;Каротаж фазы 1;08.04.2025 17:30;08.04.2025 20:00;2,5
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;08.04.2025 14:30;08.04.2025 17:30;3
Prakla №1_ KATCO;repair;REPAIR;Ремонт;08.04.2025 13:30;08.04.2025 14:30;1
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;08.04.2025 13:00;08.04.2025 13:30;0,5
Prakla №1_ KATCO;standBy;WAITING;Обед;08.04.2025 12:00;08.04.2025 13:00;1
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;08.04.2025 10:00;08.04.2025 12:00;2
Prakla №1_ KATCO;use;DRILLING;Промывка ствола скважины;08.04.2025 9:00;08.04.2025 10:00;1
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;08.04.2025 5:30;08.04.2025 9:00;3,5
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;08.04.2025 0:30;08.04.2025 5:30;5
Prakla №1_ KATCO;standBy;WAITING;Обед;07.04.2025 23:30;08.04.2025 0:30;1
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;07.04.2025 20:30;07.04.2025 23:30;3
Prakla №1_ KATCO;use;WAITING;ППР;07.04.2025 20:00;07.04.2025 20:30;0,5
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;07.04.2025 13:00;07.04.2025 20:00;7
Prakla №1_ KATCO;standBy;WAITING;Обед;07.04.2025 12:30;07.04.2025 13:00;0,5
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;07.04.2025 9:00;07.04.2025 12:30;3,5
Prakla №1_ KATCO;use;WAITING;ППР;07.04.2025 8:00;07.04.2025 9:00;1
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;07.04.2025 1:00;07.04.2025 8:00;7
Prakla №1_ KATCO;standBy;WAITING;Обед;07.04.2025 0:00;07.04.2025 1:00;1
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;06.04.2025 21:30;07.04.2025 0:00;2,5
